[2025-07-18 19:56:03] GUSDT (linear) - 10.9x, цена: 0.014, Объем: 2,301,120 USD
[2025-07-18 19:56:02] CHESSUSDT (linear) - 14.5x, цена: 0.083, Объем: 2,098,791 USD
[2025-07-18 19:56:01] AUDIOUSDT (linear) - 49.5x, цена: 0.069, Объем: 7,593,498 USD
[2025-07-18 19:49:30] CHZUSDT (linear) - 8.3x, цена: 0.043, Объем: 4,861,117 USD
[2025-07-18 19:42:51] CUSDT (linear) - 8.4x, цена: 0.410, Объем: 23,626,692 USD
[2025-07-18 19:37:22] CHESSUSDT (linear) - 9.8x, цена: 0.082, Объем: 1,419,800 USD
[2025-07-18 19:30:08] SAHARAUSDT (linear) - 10.1x, цена: 0.084, Объем: 29,512,204 USD
[2025-07-18 19:30:08] GUSDT (linear) - 8.5x, цена: 0.014, Объем: 1,811,160 USD
[2025-07-18 19:30:06] FUSDT (linear) - 10.6x, цена: 0.009, Объем: 5,151,639 USD
[2025-07-18 19:30:06] DOGEPERP (linear) - 12.6x, цена: 0.244, Объем: 1,238,606 USD
[2025-07-18 19:23:55] FRAGUSDT (linear) - 8.9x, цена: 0.046, Объем: 8,468,269 USD
[2025-07-18 19:23:55] CHESSUSDT (linear) - 19.7x, цена: 0.081, Объем: 2,850,198 USD
[2025-07-18 19:17:16] IOUSDT (linear) - 14.9x, цена: 0.844, Объем: 1,544,013 USD
[2025-07-18 19:17:16] ALTUSDT (linear) - 8.2x, цена: 0.037, Объем: 20,437,593 USD
[2025-07-18 19:11:33] CUSDT (linear) - 12.6x, цена: 0.475, Объем: 35,428,198 USD
[2025-07-18 19:11:32] CHESSUSDT (linear) - 8.5x, цена: 0.081, Объем: 1,231,977 USD
[2025-07-18 19:04:49] GUSDT (linear) - 17.7x, цена: 0.014, Объем: 3,751,160 USD
[2025-07-18 18:15:38] FUSDT (linear) - 8.5x, цена: 0.009, Объем: 4,155,510 USD
[2025-07-18 17:44:38] QIUSDT (linear) - 9.4x, цена: 0.008, Объем: 3,155,250 USD
[2025-07-18 17:44:37] 1000LUNCUSDT (linear) - 9.9x, цена: 0.068, Объем: 4,339,451 USD
[2025-07-18 17:25:05] STOUSDT (linear) - 8.1x, цена: 0.089, Объем: 1,517,060 USD
[2025-07-18 17:18:00] FUSDT (linear) - 9.0x, цена: 0.009, Объем: 4,362,198 USD
[2025-07-18 17:17:59] CUSDT (linear) - 8.2x, цена: 0.502, Объем: 23,034,494 USD
[2025-07-18 16:58:37] FUSDT (linear) - 11.0x, цена: 0.009, Объем: 5,351,141 USD
[2025-07-18 16:58:36] 1000XECUSDT (linear) - 11.0x, цена: 0.023, Объем: 1,826,920 USD
[2025-07-18 16:45:53] CUSDT (linear) - 11.3x, цена: 0.480, Объем: 31,888,804 USD
[2025-07-18 16:39:54] FUSDT (linear) - 63.3x, цена: 0.009, Объем: 30,814,204 USD
[2025-07-18 16:33:00] ICNTUSDT (linear) - 8.6x, цена: 0.256, Объем: 2,400,310 USD
[2025-07-18 16:32:59] GPSUSDT (linear) - 8.1x, цена: 0.024, Объем: 3,340,302 USD
[2025-07-18 16:32:59] BIOUSDT (linear) - 9.2x, цена: 0.071, Объем: 4,444,230 USD
[2025-07-18 16:26:21] FUSDT (linear) - 47.1x, цена: 0.010, Объем: 22,908,455 USD
[2025-07-18 16:08:05] FUSDT (linear) - 8.4x, цена: 0.009, Объем: 4,090,183 USD
[2025-07-18 16:02:31] FUSDT (linear) - 13.4x, цена: 0.009, Объем: 6,502,749 USD
[2025-07-18 16:02:29] CUSDT (linear) - 9.6x, цена: 0.495, Объем: 26,894,248 USD
[2025-07-18 15:15:08] CUSDT (linear) - 9.2x, цена: 0.448, Объем: 22,762,435 USD
[2025-07-18 14:46:31] CUSDT (linear) - 6.9x, цена: 0.392, Объем: 14,776,330 USD
[2025-07-18 14:40:08] B3USDT (linear) - 5.3x, цена: 0.003, Объем: 25,610,400 USD
[2025-07-18 14:26:31] CUSDT (linear) - 5.0x, цена: 0.381, Объем: 10,673,838 USD
[2025-07-18 13:48:34] ROSEUSDT (linear) - 4.5x, цена: 0.031, Объем: 5,777,792 USD
[2025-07-18 13:48:33] ETHBTCUSDT (linear) - 3.6x, цена: 0.030, Объем: 5,797,740 USD
[2025-07-18 13:48:33] DOGEUSDT (linear) - 3.2x, цена: 0.237, Объем: 179,534,132 USD
[2025-07-18 13:48:32] DEGENUSDT (linear) - 4.2x, цена: 0.005, Объем: 46,970,260 USD
[2025-07-18 13:48:29] CROUSDT (linear) - 4.1x, цена: 0.119, Объем: 2,988,270 USD
[2025-07-18 13:48:28] CKBUSDT (linear) - 3.7x, цена: 0.005, Объем: 11,641,450 USD
[2025-07-18 13:48:28] CFXUSDT (linear) - 5.0x, цена: 0.108, Объем: 2,353,173 USD
[2025-07-18 13:48:27] C98USDT (linear) - 3.5x, цена: 0.061, Объем: 3,065,818 USD
[2025-07-18 13:48:27] BIOUSDT (linear) - 4.0x, цена: 0.073, Объем: 1,811,631 USD
[2025-07-18 13:48:24] BIGTIMEUSDT (linear) - 3.8x, цена: 0.063, Объем: 1,502,061 USD
[2025-07-18 13:48:23] ARPAUSDT (linear) - 3.3x, цена: 0.024, Объем: 1,003,890 USD
[2025-07-18 13:48:22] ALPHAUSDT (linear) - 4.2x, цена: 0.016, Объем: 4,663,366 USD
[2025-07-18 13:48:22] AINUSDT (linear) - 4.7x, цена: 0.153, Объем: 4,148,030 USD
[2025-07-18 13:48:21] 1000LUNCUSDT (linear) - 4.0x, цена: 0.066, Объем: 1,595,242 USD
[2025-07-18 13:48:20] 1000BTTUSDT (linear) - 9.6x, цена: 0.001, Объем: 73,389,400 USD
[2025-07-18 13:42:25] SNTUSDT (linear) - 4.6x, цена: 0.032, Объем: 5,569,080 USD
[2025-07-18 13:42:24] SIGNUSDT (linear) - 4.1x, цена: 0.078, Объем: 1,442,280 USD
[2025-07-18 13:42:21] SHIB1000USDT (linear) - 3.8x, цена: 0.015, Объем: 209,420,200 USD
[2025-07-18 13:42:20] PEOPLEUSDT (linear) - 3.2x, цена: 0.024, Объем: 41,627,520 USD
[2025-07-18 13:42:19] ORBSUSDT (linear) - 3.3x, цена: 0.021, Объем: 1,627,800 USD
[2025-07-18 13:42:19] MOVEUSDT (linear) - 3.7x, цена: 0.158, Объем: 4,172,299 USD
[2025-07-18 13:42:18] MNTUSDT (linear) - 4.6x, цена: 0.775, Объем: 1,006,546 USD
[2025-07-18 13:42:14] MBLUSDT (linear) - 3.8x, цена: 0.002, Объем: 3,710,100 USD
[2025-07-18 13:42:13] KMNOUSDT (linear) - 5.5x, цена: 0.066, Объем: 1,179,130 USD
[2025-07-18 13:42:13] JUPUSDT (linear) - 3.1x, цена: 0.554, Объем: 1,983,416 USD
[2025-07-18 13:42:12] JASMYUSDT (linear) - 4.7x, цена: 0.018, Объем: 70,035,453 USD
[2025-07-18 13:42:12] HIFIUSDT (linear) - 7.7x, цена: 0.090, Объем: 1,671,724 USD
